,title,synopsis,label
0,Four Rooms,it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another.,3
1,Judgment Night,"while racing to a boxing match, frank, mike, john and rey get more than they bargained for. a wrong turn lands them directly in the path of fallon, a vicious, wise-cracking drug lord. after accidentally witnessing fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat & mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",2
2,Life in Loops (A Megacities RMX),"timo novotny labels his new project an experimental music documentary film, in a remix of the celebrated film megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading austrian documentarist michael glawogger. novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by glawogger with his own sequences (shot by megacities cameraman wolfgang thaler) from tokyo. alongside the japanese metropolis, life in loops takes us right into the atmosphere of mexico city, new york, moscow and bombay. this electrifying combination of fascinating film images and an equally compelling soundtrack from sofa surfers sets us off on a stunning audiovisual adventure across the continents. the film also makes an original contribution to the discussion on new trends in documentary filmmaking. written by karlovy vary iff 2006",0
3,Star Wars,princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire. venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2-d2 and c-3po to rescue the beautiful princess and restore peace and justice in the empire.,3
4,Finding Nemo,"nemo, an adventurous young clownfish, is unexpectedly taken from his great barrier reef home to a dentist's office aquarium. it's up to his worrisome father marlin and a friendly but forgetful fish dory to bring nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",9
5,Forrest Gump,"a man with a low iq has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. but despite all he has achieved, his one true love eludes him.",13
6,American Beauty,"lester burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",5
7,Citizen Kane,"newspaper magnate, charles foster kane is taken from his mother as a boy and made the ward of a rich industrialist. as a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",5
8,Dancer in the Dark,"selma, a czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. when life gets too difficult, selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",5
9,The Dark,adèle and her daughter sarah are traveling on the welsh coastline to see her husband james when sarah disappears. a different but similar looking girl appears who says she died in a past time. adèle tries to discover what happened to her daughter as she is tormented by celtic mythology from the past.,8
10,The Fifth Element,"in 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",9
11,My Life Without Me,a fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,11
12,The Endless Summer,"bruce brown's the endless summer is one of the first and most influential surf movies of all time. the film documents american surfers mike hynson and robert august as they travel the world during california’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",0
13,Pirates of the Caribbean: The Curse of the Black Pearl,"jack sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging port royal. when the governor's daughter is kidnapped, sparrow decides to help the girl's love save her.",8
14,Kill Bill: Vol. 1,"an assassin is shot by her ruthless employer, bill, and other members of their assassination circle – but she lives to plot her vengeance.",3
15,Jarhead,"jarhead is a film about a us marine anthony swofford’s experience in the gulf war. after putting up with an arduous boot camp, swofford and his unit are sent to the persian gulf where they are eager to fight, but are forced to stay back from the action. swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",12
16,9 Songs,"matt, a young glaciologist, soars across the vast, silent, icebound immensities of the south pole as he recalls his love affair with lisa. they meet at a mobbed rock concert in a vast music hall - london's brixton academy. they are in bed at night's end. together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",0
17,Apocalypse Now,"at the height of the vietnam war, captain benjamin willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" his goal is to locate - and eliminate - a mysterious green beret colonel named walter kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",12
18,Unforgiven,"william munny is a retired, once-ruthless killer turned gentle widower and hog farmer. to help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",2
19,The Simpsons Movie,"after homer accidentally pollutes the town's water supply, springfield is encased in a gigantic dome by the epa and the simpsons are declared fugitives.",7
20,Eternal Sunshine of the Spotless Mind,"joel barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. however, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",3
21,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow works his way out of a blood debt with the ghostly davy jones to avoid eternal damnation.,3
22,A History of Violence,an average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,11
23,2001: A Space Odyssey,"humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of hal 9000, the world's most advanced super computer.",3
