id,title,synopsis
0,Four Rooms,it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another.
3,Star Wars,princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire. venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2-d2 and c-3po to rescue the beautiful princess and restore peace and justice in the empire.
14,Kill Bill: Vol. 1,"an assassin is shot by her ruthless employer, bill, and other members of their assassination circle – but she lives to plot her vengeance."
20,Eternal Sunshine of the Spotless Mind,"joel barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. however, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."
21,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow works his way out of a blood debt with the ghostly davy jones to avoid eternal damnation.
23,2001: A Space Odyssey,"humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of hal 9000, the world's most advanced super computer."
27,Paradise Now,two childhood friends are recruited for a suicide bombing in tel aviv.
35,Before Sunrise,"on his way to vienna, american jesse meets céline, a student returning to paris. after long conversations forge a surprising connection between them, jesse convinces celine to get off the train with him in vienna. since his flight to the u.s. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of vienna and each other."
38,Before Sunset,"nine years later, jesse travels across europe giving readings from a book he wrote about the night he spent in vienna with celine. after his reading in paris, celine finds him, and they spend part of the day together before jesse has to again leave for a flight. they are both in relationships now, and jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more."
40,Open Water,"two divers are left out at sea without a boat. there’s nothing but water for miles, unless they look at what’s underneath them..."
41,Raiders of the Lost Ark,"when dr. indiana jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary ark of the covenant, he finds himself up against the entire nazi regime."
42,Indiana Jones and the Temple of Doom,"after arriving in india, indiana jones is asked by a desperate village to find a mystical stone. he agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."
51,Tron,"as kevin flynn searches for proof that he invented a hit video game, he is 'digitalized' by a laser and finds himself inside 'the grid', where programs suffer under the tyrannical rule of the master control program (mcp). with the help of a security program called 'tron', flynn seeks to free the grid from the mcp."
52,Gladiator,"in the year 180, the death of emperor marcus aurelius throws the roman empire into chaos.  maximus is one of the roman army's most capable and trusted generals and a key advisor to the emperor.  as marcus' devious son commodus ascends to the throne, maximus is set to be executed.  he escapes, but is captured by slave traders.  renamed spaniard and forced to become a gladiator, maximus must battle to the death with other men for the amusement of paying audiences."
